,Province/State,Country/Region,Lat,Long,Feb Temp Min (in _),Feb Temp Max (in _),Feb Temp Avg (in _),Mar Temp Min (in _),Mar Temp Max (in _),Mar Temp Avg (in _),Population,Pop density
16,Città della Pieve,Italy,43,12,3,11,8,4,14,10,7709,69.21
155,Yazd,Iran,32,53,5,12,10,9,16,13,1138533,15
156,Gimcheon,"Korea, South",36,128,-2,7,3,3,13,9,143620,142.34
18,Toledo,Spain,40,-4,5,16,11,7,19,14,809,26.09
11,Haina (Walden Frankenberg),Germany,51,9,2,7,4,1,7,5,468,70
157,Aubusson,France,46.2276,2.2137,4,12,9,3,12,9,3591,190
99,New York,US,42.1657,-74.9481,-1,5,3,1,8,5,19542209,10194
31,Sachseln,Switzerland,46.8182,8.2275,-5,5,1,-6,5,2,5146,96
403,Moffat,United Kingdom,55.3781,-3.436,3,8,6,1,8,6,2440,1575
440,Utrecht,Netherlands,52.1326,5.2913,5,11,8,5,12,9,357179,3786
39,Geilo,Norway,60.472,8.4689,-7,-2,-4,-10,-2,-4,2509,779.4
1,Nagano Prefecture,Japan,36,138,-2,7,3,0,11,7,2052493,150
20,Ninove,Belgium,50.8333,4,5,11,8,6,12,10,38911,536
32,Liezen,Austria,47.5162,14.5501,-6,5,0,-5,8,3,79642,24.01
17,Jämtland County,Sweden,63,16,-9,-2,-4,-7,-1,-3,130810,2.6
170,Silkeborg municipality,Denmark,56.2639,9.5018,3,7,5,3,8,7,93054,107.6
98,Washington,US,47.4009,-121.4905,2,8,6,3,12,8,7535591,43.78
4,Sarawak,Malaysia,2.5,112.5,24,30,28,24,32,29,2812800,22.6
100,California,US,36.1162,-119.6816,2,10,7,8,17,13,39144818,97
59,Abrantes,Portugal,39.3999,-8.2245,7,17,13,8,20,15,39325,55.02
186,Gol__v Jeníkov,Czech Republic,49.8175,15.473,1,7,4,4,11,9,2673,97.23
33,Ramat Negev Regional Council,Israel,31,35,11,17,15,11,19,17,7800,1.899
35,Nova Nazaré,Brazil,-14.235,-51.9253,22,31,27,21,31,27,3849,0.9532
107,New Jersey,US,40.2989,-74.521,-1,5,3,2,8,6,8882190,1210.1
37,Karpenisi,Greece,39.0742,21.8243,4,13,10,6,17,15,13105,13.81
50,Birr,Ireland,53.1424,-7.6921,5,10,8,3,10,8,4411,694.6
12,Kärsämäki,Finland,64,26,-7,-3,-4,-7,0,-2,2613,3.755
106,Florida,US,27.7663,-81.6868,16,25,22,15,25,21,21477737,154.6
101,Massachusetts,US,42.2302,-71.5301,-5,3,0,-3,7,4,6902149,341.6
34,Loralai (Balochistan),Pakistan,30.3753,69.3451,14,22,19,20,28,25,397400,48.8
110,Illinois,US,40.3495,-88.9861,-8,-1,-4,-3,6,2,12830632,89.23
73,Parz_czew,Poland,51.9194,19.1451,1,5,3,3,10,8,5127,49.35
138,Louisiana,US,31.1695,-91.8678,10,18,15,10,19,15,4659978,41.64
51,Nommern,Luxembourg,49.8153,6.1296,3,9,6,4,11,8,1421,63.32
67,Linares,Chile,-35.6751,-71.543,18,35,29,13,30,25,286361,28.49
104,Georgia,US,33.0406,-83.6431,8,18,14,8,19,15,10627423,71.18
146,Michigan,US,43.3266,-84.5361,-4,0,-2,-2,3,1,9883635,174
109,Texas,US,31.0545,-97.5635,13,18,16,14,19,17,28995881,42.85
54,San Juan,Ecuador,-1.8312,-78.1834,10,17,12,8,16,11,18427,201.5
207,Kayseri,Turkey,38.9637,35.2433,0,7,5,1,11,9,1407409,82.58
,Mumbai,India,,,25,30,28,24,31,29,3085411,19652
,Pune,India,,,21,32,27,23,36,31,9429408,602.8
,Thrissur,India,,,24,36,30,25,37,32,3121200,1031
,Alappuzha,India,,,26,31,29,26,31,29,2127789,1504
,Kasargod,India,,,23,35,29,24,34,30,1307375,657.3
,Kolkata,India,,,22,31,28,25,35,31,4496694,24306
